Name,Rating,Review,Comment
Murali Ram,5,Terrific purchase,It's Looks so Cute.. Design was amazing.. Sound quality really good. I really love it.. Worth..
Flipkart Customer,5,Wonderful,Thank you filpkart 🤗🤗
Gaurav Goel,5,Classy product,Super buds at most affordable price….Go for it without tension
Sachin Barot,1,Very poor,After using 10 day i m wrote this review..when playing song..offline or online songs is running and buds will be off 10 second nd sometimes 30 second then play automatically nd again it will repeat when playing songs...Product is ok desing is ok control is ok. Charging is ok..look like ok..just facing this type issue...
Aswin Shabu,4,Wonderful,"In this price segment mivi duo m20 is much more better on bass quality, noise cancellation and sound quality. Noise buds is better for in its shape no stress for ears with helmet... Do u use this with helmet noise buds is better on its shape. Using power amp app for noise buds is getting much more sound quality"
Hemanta kumar Baral ,5,Fabulous!,"I tested 5 earbuds under price range 2k.But this one is Amazing & better than all.My personal choice is Boult audio,but this one is beat the Boult.Amazing balance of sound.. everything is balanced.It can beat all the device in price segment 2k.But one drawback of this device is battery backup..slightly disappointed.. Overall ..Love u NOISE..Don't go to negative review..because nothing is 100% perfect in the world.Am  lucky.. bought this one under Rs.800."
Sunil Kumar,1,Horrible,Good product 🎶🎵
Flipkart Customer,5,Super!,Excellent
Lucky Ram,5,Terrific,Love you noise
Manish Kumar Banyal,5,Super!,In a single time only one can connected. So why need to purchase these?
Flipkart Customer,1,Terrible product,Getting some noise sounds
Deen Thala,5,Awesome,nice and cute
Flipkart Customer,4,Nice product,Like this products
Mudigiri Shivaji,3,Good,Good but return ear buds are delivered I. Am not satisfied som
Rahul  Shakya,5,Simply awesome,Im buy 899 .... Osm quality and base spr....
Biswajit Das,1,Worst experience ever!,"Don't buy, wasted money. I'm realy disappointed."
Jamal Shaikh,5,Best in the market!,Product is amazing less budget super dhamaka.
PROTYEN  HALDER,4,Wonderful,"Sound is little bit fuzzy... Overall performance is good... Its battery backup is quite impressive,❤️"
Nizam Ansari,4,Worth the money,Good product is nice 👍😊 enjoy it now 😊
Shamsad Ahmad ,5,Great product,"The best ear buds in this price range ,And battery backup is outstanding , But after using it for a long time, it starts heating up."
Flipkart Customer,5,Worth every penny,Nice
Flipkart Customer,4,Value-for-money,Nice
Satish Verma,5,Terrific purchase,Nice product
Saranya Unnikrishnan,4,Nice product,"Good sound quality, best in the price segment..,but 2 disadvantages 1.sometime left earbud not working properly2.low battery backup"
Flipkart Customer,5,Classy product,Good quality ❤️🥰🥰😉😉
Arun Soni,5,Brilliant,Very good for the price i have paid. Totally recommend.
Amanat 01,5,Simply awesome,Nice product 🤩
Flipkart Customer,5,Super!,"Very compact product, unique look and the sound in the given price range is amazing."
Rahul Pareek,5,Classy product,Superb quality..full price vasul
Sneha Rani,5,Perfect product!,I love it because this is touching system
Abishant Sangral,5,Fabulous!,Its nice.   Best battery backup.  Best quality.   Best Price.    Thanks Noise ❣️
gourav mohanty,4,Pretty good,This product is osm.... It enhance your music listening and gaming experience you should buy it and try this product
Kumar Chiku,2,Expected a better product,Battery back up not good i am not satisfie some time put my mobile in my pocket disconnecte range are not available very bad
sreekuttan kuttan,5,Great product,This buds are really amazing..for music lovers its a perfect one.Sound quality is pure and also has good bass.The only one drawback is the case is glossy and will gets scratches very often.But when compared to the overall quality it is negligible.Worth for the money
Nirmal Patel,5,Great product,Awesome productUnique designGood bass - not much higher not much lowerEasy connectingExtra rubber pairsGood sound calling
Nithin Manly.S,5,Great product,super quality. worth for money. easy to connect when it is been removed from case.
Flipkart Customer,5,Best in the market!,Worth for money. Got 3 pieces after 1st purchase also try vs201 even more worth
Dhaneshwar Nirmalkar,4,Nice product,Very good product
Aman Singh,5,Simply awesome,I like this product 😍 it has massive battery backup nice deep bass just go for it
Saludden Mirza,5,Best in the market!,Very good product
Aryan Mishra,3,Fair,Sound quality 👎
Yedurupaka Prakash,4,Good choice,Super
Rajesh Kumar Sahni,1,Not recommended at all,Left side head buds are not working So I want to replace this item as soon as possible. In image one heads buds  red indicator are glowing other one are not working.
Gurwinder Singh,5,Worth every penny,Very nice 👌 product 😌🔥Very nice sound and base quality 🔥Very good for calling 🔥Good charging and battery 🔋 back up🔥🔥
Sanjay  Sutradhar,5,Perfect product!,"Nice build quality.  Value of money , Ear comfortable, light waight, bass boost sound . It make me  feel Happy 😁."
Flipkart Customer,5,Great product,Awesome product at this price loved it must try everyone
Gaurav Daga,4,Very Good,Very Nice at this price range
Gulraj  Singh ,3,Does the job,Good sound quality is a bit low
Flipkart Customer,4,Good quality product,Satisfied !!! ❣️
Debesh Laha,2,Moderate,Right side sensor is not working in few days..product not good. Flipkart is good.
Sarvjeet singh Chouhan,2,Slightly disappointed,Poor sound quality...
Basanta  Sarkar,4,Value-for-money,Very Good
Sameer Kumar,5,Simply awesome,sound is very good but the earbuds are so light and look is also good and value for money
Rohit  Jaiswal,5,Mind-blowing purchase,Super
Sanmoy Dutta,4,Delightful,Very good
Pijush Takhelmayum,3,Decent product,"Nice earbuds , it is comfortable to wear , sound quality was average ."
SURJITH NIRMAL,4,Good choice,Very good Product 💯Bass nice 🙂
Deeksha Singh,5,Best in the market!,Awesome
Neetu Pandey,1,Waste of money!,We have already requested for the return of this product as it has been delivered damaged and they have not picked up this product and not refunded the amount yet. Such a bad experience with this product and Flipkart.
Rohit Mahadik,5,Terrific,"This Product is Value for money in this price range , Good job team Noise 😊 , I am Buying this product & i love it..."
Rohit Kumar Maurya Rk,5,Mind-blowing purchase,Good quality.....
Rajkamal swain Lipu,5,Mind-blowing purchase,Mind Blowing.Billi Quality 👍Sounds Quality superb
Flipkart Customer,4,Good choice,Good sound quality... And bass trust to buy the product.... But extra ear tips not provide..
